GlobalId,ChangeType,OldReference,NewReference
"#63602=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiI0',#18,'GridCube:Small Unit:1666405',$,'GridCube:Small Unit',#63601,#63598,'1666405',$)",Added,,
"#63448=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiIn',#18,'GridCube:Small Unit:1666388',$,'GridCube:Small Unit',#63447,#63444,'1666388',$)",Added,,
"#72765=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HjZQ',#18,'GridCube:Small Unit:1667391',$,'GridCube:Small Unit',#72764,#72761,'1667391',$)",Added,,
"#34881=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiXj',#18,'GridCube:Small Unit:1663368',$,'GridCube:Small Unit',#34880,#34877,'1663368',$)",Added,,
"#22407=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlMF',#18,'GridCube:Small Unit:1662058',$,'GridCube:Small Unit',#22406,#22403,'1662058',$)",Added,,
"#15389=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hl2O',#18,'GridCube:Small Unit:1661309',$,'GridCube:Small Unit',#15388,#15385,'1661309',$)",Added,,
"#34353=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiYs',#18,'GridCube:Small Unit:1663315',$,'GridCube:Small Unit',#34352,#34349,'1663315',$)",Added,,
"#55924=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiFC',#18,'GridCube:Small Unit:1665577',$,'GridCube:Small Unit',#55923,#55920,'1665577',$)",Added,,
"#19437=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlBU',#18,'GridCube:Small Unit:1661755',$,'GridCube:Small Unit',#19436,#19433,'1661755',$)",Added,,
"#4719=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlpr',#18,'GridCube:Small Unit:1660176',$,'GridCube:Small Unit',#4718,#4715,'1660176',$)",Added,,
"#29953=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlPZ',#18,'GridCube:Small Unit:1662854',$,'GridCube:Small Unit',#29952,#29949,'1662854',$)",Added,,
"#32758=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HibM',#18,'GridCube:Small Unit:1663155',$,'GridCube:Small Unit',#32757,#32754,'1663155',$)",Added,,
"#27863=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlTE',#18,'GridCube:Small Unit:1662635',$,'GridCube:Small Unit',#27862,#27859,'1662635',$)",Added,,
"#2629=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlt9',#18,'GridCube:Small Unit:1659948',$,'GridCube:Small Unit',#2628,#2625,'1659948',$)",Added,,
"#62348=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiKv',#18,'GridCube:Small Unit:1666268',$,'GridCube:Small Unit',#62347,#62344,'1666268',$)",Added,,
"#49478=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiwI',#18,'GridCube:Small Unit:1664887',$,'GridCube:Small Unit',#49477,#49474,'1664887',$)",Added,,
